Cod;Dep;CodMun;CodMunDpto;Mun;Clase;Hombres;Mujeres;ConteoTotal;e0-9;e10-19;e20-29;e30-39;e40-49;e50-59;e60-69;e70-79;e80-89;e90-99;e100-109;e110-120;CabezaHogar;Pareja;Hijo;Yerno;Nieta;Padre;Hermano;OtroPariente;EmpleadoServicio;OtroNoPariente;NacioMunicipio;NacioOtroMunicipio ;NacioOtroPais;NacioNoInforma;dep05;dep08;dep11;dep13;dep15;dep17;dep18;dep19;dep20;dep23;dep25;dep27;dep41;dep44;dep47;dep50;dep52;dep54;dep63;dep66;dep68;dep70;dep73;dep76;dep81;dep85;dep86;dep88;dep91;dep94;dep95;dep97;depNI;dep99;En el municipo donde naci��;En otro municipio;En otro pa�s;No sabe;No informa;No hab�a nacido;En este municipio;En otro municipio;En otro pa�s ;No informa;Cabecera municipal;Centro poblado, corregimiento, inspecci�n de policia, caser�o ;Rural (vereda, campo);No informa;Si;No;No informa;Total;Dificultad para encontrar trabajo;Riesgo o desastre natural;Amenaza o riesgo para su vida;Necesidades de educaci�n;Motivos de salud;Razones familiares;Miembro pueblo n�made u otra raz�n;No informa;Ind�gena;Rom;Raizal del Archipielago de San Andres;Palenquero de San Basilio;Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente;Ninguna de las anteriores;No informa;Si;No;No informa;con al menos una limitaci�n;Moverse o caminar;Usar sus brazos y manos;Ver, a pesar de usar lentes o gafas;Oir, a�n con aparatos especiales;Hablar;Entender o aprender;Relacionarse con los dem�s por problemas mentales o emocionales;Ba�arse, vestirse, alimentarse por s� mismo;Otra limitaci�n;Total;Si;No;No informa;Total;Si;No;No informa;Total;Prescolar;Basica primaria;Basica Secundaria;Media academica o cl�sica;Media t�cnica;Normalista;Tecnica superior;tecnolog�a;Profesional;Especializaci�n;Maestr�a;Doctorado;Ninguno;No informa;Total;Trabaj�;No trabaj�, pero ten�a trabajo;Busc� trabajo, pero hab�a trabajado antes;Busc� trabajo por primera vez;Estudi� y no trabaj� ni busc� trabajo;Realiz� oficios del hogar y no trabaj� ni busc� trabajo;Estuvo incapacitado permanentemente para trabajar;Vivi� de jubilaci�n o renta y no trabaj� ni busc� trabajo;Estuvo en otra situaci�n;No informa;Total;No esta casado y lleva dos o m�s a�os viviendo con su pareja;No esta casado y lleva menos de dos a�os viviendo con su pareja;Est� separado(a), divorciado(a);Esta viudo(a);Est� soltero(a);Est� casado (a);No informa;Total;Si;No;No informa;Total;Si;No
05;Antioquia;001;05001;Medell�n;1;1013004;1158976;2171980;343609;393723;362896;326245;310444;210835;123944;73025;23512;3581;160;6;595763;343197;851355;16881;125262;30673;57657;76586;16285;58321;1263569;812456;7294;88661;1860378;6184;17913;6263;2748;40750;953;2081;2298;19079;3734;24891;2226;1233;2980;1224;2745;3720;7929;14780;9509;6434;7974;25602;324;117;512;470;131;39;53;43;670;38;2037604;32907;906;11615;88948;165300;1777323;134037;6939;88381;1761055;128287;19772;2246;658592;1422752;90636;658592;74552;8524;25790;23292;12394;290024;223806;210;2925;;246;;134893;1943073;90843;1348;1808;15;110432;32625;16723;36875;17215;14186;17082;14529;11663;27148;1630714;1497959;63325;69430;829724;518741;280873;30110;2073221;76561;616578;413585;327201;77399;4175;47289;68102;191029;27794;7344;2011;123107;91046;2008021;763373;13353;56784;8455;441949;328628;18124;73892;212147;91316;1828371;225301;26025;99233;86607;834822;470789;85594;951133;558338;330208;62587;558338;555566;2772
05;Antioquia;001;05001;Medell�n;2;7980;8219;16199;3409;3351;2628;2403;2166;1117;673;346;95;10;1;;4125;2673;7092;155;946;193;305;451;6;253;11029;4750;5;415;14835;27;53;30;7;249;5;5;39;93;13;57;4;6;10;2;8;7;36;64;42;47;17;119;1;;2;1;;;;;;;15463;197;1;123;415;1658;13512;708;3;318;1553;6794;5866;7;3732;12051;416;3732;842;50;225;55;84;1974;502;;8;;1;;1634;14140;416;;9;;1612;375;211;910;177;154;152;147;121;216;10994;10112;659;223;7172;4001;3014;157;15225;683;6618;3434;1886;541;11;134;64;105;19;3;2;1386;339;14547;5346;57;369;64;2736;2863;171;158;2454;329;12790;2219;255;545;497;5629;3395;250;6275;4173;1938;164;4173;4162;11
05;Antioquia;001;05001;Medell�n;3;10022;9876;19898;3679;3820;3218;2935;2773;1692;1031;551;173;26;;;5304;3580;8598;131;981;173;370;374;21;366;14336;5245;33;284;18900;6;52;28;9;159;7;2;4;33;22;34;7;4;8;1;6;12;32;63;22;15;26;112;;;;;2;;;;15;;18973;486;12;148;279;1739;16698;1184;24;253;2188;2469;13209;16;4387;15231;280;4387;849;57;188;81;101;2336;773;2;24;;;;347;19240;287;7;17;;1219;353;170;408;147;106;151;136;72;253;14170;12816;1176;178;8108;4542;3450;116;18859;530;8851;3372;2110;522;21;202;216;520;80;47;8;2085;295;18167;6855;188;240;47;3027;4615;171;241;2502;281;16219;2085;362;604;634;7088;5241;205;7688;4943;2597;148;4943;4865;78
05;Antioquia;002;05002;Abejorral;1;2810;3366;6176;1292;1220;730;669;783;612;420;310;120;20;;;1642;806;2467;33;479;92;184;280;19;174;5134;988;4;50;5975;3;5;;3;60;;1;1;3;5;2;5;;2;;;2;8;15;4;;4;22;;;;;;;;;2;;5881;232;1;10;52;626;5262;269;7;12;5222;44;261;4;1226;4893;57;1226;334;16;89;60;39;489;199;;1;;;;25;6098;52;;1;;629;214;81;286;122;45;56;58;39;49;4230;3844;374;12;2477;1699;771;7;5794;279;2686;1037;476;304;98;49;72;97;56;1;1;609;29;5550;1668;13;28;45;1485;1454;92;56;678;31;4884;454;75;244;356;2297;1441;17;2575;1609;857;109;1609;1597;12
05;Antioquia;002;05002;Abejorral;2;282;328;610;107;114;39;70;94;66;60;43;15;2;;;211;100;194;2;43;12;14;16;;18;543;55;;12;574;;1;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;563;8;;27;12;42;548;16;;4;36;426;74;28;78;526;6;78;6;7;9;6;1;43;5;1;;;;;1;594;15;;;;57;15;15;19;14;11;11;11;5;5;449;393;54;2;222;160;56;6;592;11;323;98;40;8;;2;;4;;1;1;84;20;568;147;;;2;153;154;13;5;71;23;503;41;6;15;37;197;188;19;265;120;49;96;120;120;
05;Antioquia;002;05002;Abejorral;3;6990;6052;13042;2839;2554;1876;1681;1591;1192;736;445;106;22;;;3211;2470;5675;103;558;167;253;295;26;284;10301;2684;;57;12707;;4;5;2;114;1;1;2;9;2;4;;1;2;;;;26;7;2;;10;42;;;;;;;;;44;;12283;621;;77;61;1428;11138;449;;27;330;92;11099;66;2703;10283;56;2703;1116;13;145;29;32;875;486;7;1;;;;53;12924;64;;1;;1056;273;99;538;191;130;96;71;75;75;8811;7663;1138;10;5422;2217;3186;19;12152;157;8458;966;318;39;8;10;5;12;3;;1;2139;36;11615;4685;6;13;10;1622;3893;120;5;1232;29;10203;1016;221;195;409;4127;4212;23;4419;2995;1338;86;2995;2981;14
05;Antioquia;004;05004;Abriaqu�;1;320;331;651;117;137;82;79;102;60;32;27;10;5;;;200;98;257;5;42;4;16;23;;6;449;202;;;637;;;3;;;3;;2;;;1;;;;;;;2;;1;;;2;;;;;;;;;;;605;46;;;;57;532;61;1;;539;6;48;;109;542;;109;27;;14;4;6;55;3;;;;;;3;648;;;;;37;16;5;9;9;2;5;3;3;2;458;449;9;;260;182;78;;617;26;246;99;34;126;6;5;18;14;9;2;2;30;;594;208;3;5;4;145;152;8;5;64;;534;38;5;17;32;249;193;;262;171;91;;171;170;1
05;Antioquia;004;05004;Abriaqu�;3;794;710;1504;341;289;215;208;175;114;91;54;17;;;;379;254;684;7;95;11;18;35;;21;991;508;;5;1491;;;;;1;1;;1;;;;;;2;;;;;1;;;;2;;;;;;;;;;;1343;154;;2;5;157;1206;136;;5;23;18;1301;;336;1163;5;336;75;1;4;11;1;244;;;;;;;1;1498;5;;;;232;90;49;110;36;22;21;14;7;2;1011;915;91;5;658;377;281;;1416;48;880;192;61;37;3;1;1;1;;;1;186;5;1347;511;1;6;2;293;406;14;1;108;5;1163;114;18;27;66;513;419;6;502;353;145;4;353;352;1
05;Antioquia;021;05021;Alejandr�a;1;823;1037;1860;305;385;287;208;250;154;119;98;47;5;2;;580;292;742;13;123;12;29;32;;37;1270;583;;7;1801;1;9;4;1;8;;1;;4;;2;;;1;;2;1;3;;2;;4;9;;;;;;;;;;;1708;143;;1;8;144;1548;162;4;2;1575;9;126;;582;1271;7;582;121;5;59;20;29;323;25;;;;1;;5;1847;7;1;;;125;57;22;49;22;18;18;18;12;4;1352;1283;67;2;776;484;291;1;1770;56;875;292;259;20;1;57;20;54;15;;1;115;5;1716;547;7;4;4;325;401;20;16;387;5;1555;130;28;52;125;692;524;4;829;550;272;7;550;546;4
05;Antioquia;021;05021;Alejandr�a;3;1012;846;1858;428;435;272;240;204;119;80;66;12;2;;;465;334;889;14;81;10;19;26;1;19;1367;490;;1;1845;;;2;1;1;;;;;1;;;;;;;;;2;;;5;;;;;;;;;;;;1720;137;;;1;202;1501;154;;1;101;8;1546;;373;1484;1;373;103;2;40;10;5;212;1;;1;;;;6;1850;1;1;;;237;85;49;62;29;29;30;18;15;19;1206;1075;130;1;895;457;438;;1751;62;1192;179;23;2;;2;2;2;;;;264;23;1656;709;10;2;1;270;459;39;;165;1;1430;139;37;30;73;597;554;;605;428;170;7;428;428;
